CNN,Training image count,Noise addition,Label count,Epoch count,Loss,Accuracy
Fashion-MNIST,20000,1,2,36,1.79E-08,1
Fashion-MNIST,20000,1,2,37,1.75E-08,1
Fashion-MNIST,20000,1,2,38,2.00E-07,1
Fashion-MNIST,20000,1,2,39,1.37E-04,0.9999
Fashion-MNIST,20000,1,2,40,8.38E-07,1
Fashion-MNIST,20000,1,2,41,7.13E-08,1
Fashion-MNIST,20000,1,2,42,4.71E-08,1
Fashion-MNIST,20000,1,2,43,2.01E-07,1
Fashion-MNIST,20000,1,2,44,1.15E-08,1
Fashion-MNIST,20000,1,2,45,6.46E-09,1
Fashion-MNIST,20000,1,2,46,5.48E-09,1
Fashion-MNIST,20000,1,2,47,1.10E-08,1
Fashion-MNIST,20000,1,2,48,3.09E-09,1
Fashion-MNIST,20000,1,2,49,2.02E-08,1
Fashion-MNIST,20000,1,2,50,1.28E-07,1
Fashion-MNIST,20000,1,2,51,6.20E-08,1
Fashion-MNIST,20000,1,2,52,1.14E-07,1
Fashion-MNIST,20000,1,2,53,2.85E-09,1
Fashion-MNIST,20000,1,2,54,7.28E-08,1
Fashion-MNIST,20000,1,2,55,1.72E-09,1
Fashion-MNIST,20000,1,2,56,3.88E-08,1
Fashion-MNIST,20000,1,2,57,3.58E-11,1
Fashion-MNIST,20000,1,2,58,4.29E-10,1
Fashion-MNIST,20000,1,2,59,8.11E-10,1
Fashion-MNIST,20000,1,2,60,1.04E-08,1
Fashion-MNIST,20000,1,2,61,7.15E-09,1
Fashion-MNIST,20000,1,2,62,3.36E-09,1
Fashion-MNIST,20000,1,2,63,1.19E-11,1
Fashion-MNIST,20000,1,2,64,7.03E-10,1
Fashion-MNIST,20000,1,2,65,1.19E-10,1
Fashion-MNIST,20000,1,2,66,2.38E-11,1
Fashion-MNIST,20000,1,2,67,8.34E-11,1
Fashion-MNIST,20000,1,2,68,5.84E-10,1
Fashion-MNIST,20000,1,2,69,2.15E-10,1
Fashion-MNIST,20000,1,2,70,6.32E-10,1
Fashion-MNIST,20000,1,2,71,3.10E-10,1
Fashion-MNIST,20000,1,2,72,2.62E-10,1
Fashion-MNIST,20000,1,2,73,9.66E-10,1
Fashion-MNIST,20000,1,2,74,9.42E-10,1
Fashion-MNIST,20000,1,2,75,5.72E-10,1
Fashion-MNIST,20000,1,2,76,2.03E-10,1
Fashion-MNIST,20000,1,2,77,2.05E-09,1
Fashion-MNIST,20000,1,2,78,5.36E-10,1
